Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;Additional Information;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
Airtel Zambia;SZM3578-SOS-VILLAGE;SZM3578-SOS-VILLAGE | Southern;AAZM-SZM3578-SOS-VILLAGE;SZM3578-SOS-VILLAGE;Priority_5;Southern;SRAN;Southern;Nokia;Flexi MultiRadio BTS;;AAZM-ZM3578;RAN;Multi Techno;SingleRAN;SBTS;;Deployed;;
Airtel Zambia;LZM0896_KAMATIPA;LZM0896_KAMATIPA | Copperbelt;AAZM-LZM0896_KAMATIPA;LZM0896_KAMATIPA;Priority_5;Copperbelt;4G;Copperbelt;Nokia;eNodeB-Nokia;;AAZM-ZM0896;RAN;LTE (4G);eNodeB;;;Deployed;;
Airtel Zambia;WZM3787;WZM3787 | Northern;AAZM-WZM3787;WZM3787;Priority_5;Northern;3G;Northern;Ericsson;NodeB-Ericsson;;AAZM-ZM3787;RAN;WCDMA/UMTS (3G);NodeB;KSMRNC07;;Deployed;;
Airtel Zambia;LZM0773_CHOMA_TOWN;LZM0773_CHOMA_TOWN | Southern;AAZM-LZM0773_CHOMA_TOWN;LZM0773_CHOMA_TOWN;Priority_5;Southern;4G;Southern;Nokia;eNodeB-Nokia;;AAZM-ZM0773;RAN;LTE (4G);eNodeB;;;Deployed;;
Airtel Zambia;WZM0910;WZM0910 | Central;AAZM-WZM0910;WZM0910;Priority_5;Central;3G;Central;Ericsson;NodeB-Ericsson;;AAZM-ZM0910;RAN;WCDMA/UMTS (3G);NodeB;WTCRNC09;;Deployed;;
Airtel Zambia;SZM0395-T3105-KONKOLA;SZM0395-T3105-KONKOLA | Copperbelt;AAZM-SZM0395-T3105-KONKOLA;SZM0395-T3105-KONKOLA;Priority_5;Copperbelt;SRAN;Copperbelt;Nokia;Flexi MultiRadio BTS;;AAZM-ZM0395;RAN;Multi Techno;SingleRAN;SBTS;;Deployed;;
Airtel Zambia;WZM3620;WZM3620 | Central;AAZM-WZM3620;WZM3620;Priority_5;Central;3G;Central;Ericsson;NodeB-Ericsson;;AAZM-ZM3620;RAN;WCDMA/UMTS (3G);NodeB;WTCRNC09;;Deployed;;
Airtel Zambia;LZM6819_T3328_EASTLEA(Nkana_Shopping_Mall);LZM6819_T3328_EASTLEA(Nkana_Shopping_Mall) | Copperbelt;AAZM-LZM6819_T3328_EASTLEA(Nkana_Shopping_Mall);LZM6819_T3328_EASTLEA(Nkana_Shopping_Mall);Priority_5;Copperbelt;4G;Copperbelt;Nokia;eNodeB-Nokia;;AAZM-ZM6819;RAN;LTE (4G);eNodeB;;;Deployed;;
Airtel Zambia;KSEBS10;KSEBS10 | Central;AAZM-KSEBS10;KSEBS10;Priority_5;Central;2G;Central;Ericsson;BSC-Ericsson;;AAZM-DC;RAN;GSM (2G);BSC;;;Deployed;;
Airtel Zambia;GWZM0881;GWZM0881 | Central;AAZM-GWZM0881;GWZM0881;Priority_5;Central;SRAN;Central;Ericsson;SBTS-Ericsson;;AAZM-ZM0881;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;LZM6801_T1087_SOLWEZI_WEST(KANDEMBA_COMPOUND);LZM6801_T1087_SOLWEZI_WEST(KANDEMBA_COMPOUND) | North Western;AAZM-LZM6801_T1087_SOLWEZI_WEST(KANDEMBA_COMPOUND);LZM6801_T1087_SOLWEZI_WEST(KANDEMBA_COMPOUND);Priority_5;North Western;4G;North Western;Nokia;eNodeB-Nokia;;AAZM-ZM6801;RAN;LTE (4G);eNodeB;;;Deployed;;
Airtel Zambia;WZM0282_T3415_CHINGOLA_INDUSTRIAL;WZM0282_T3415_CHINGOLA_INDUSTRIAL | Copperbelt;AAZM-WZM0282_T3415_CHINGOLA_INDUSTRIAL;WZM0282_T3415_CHINGOLA_INDUSTRIAL;Priority_5;Copperbelt;3G;Copperbelt;Nokia;Flexi MultiRadio BTS - 3G;;AAZM-ZM0282;RAN;WCDMA/UMTS (3G);NodeB;KTWRN12;;Deployed;;
Airtel Zambia;GWZM0428;GWZM0428 | Luapula;AAZM-GWZM0428;GWZM0428;Priority_5;Luapula;SRAN;Luapula;Ericsson;SBTS-Ericsson;;AAZM-ZM0428;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;WZM3168;WZM3168 | Central;AAZM-WZM3168;WZM3168;Priority_5;Central;3G;Central;Ericsson;NodeB-Ericsson;;AAZM-ZM3168;RAN;WCDMA/UMTS (3G);NodeB;WTCRNC09;;Deployed;;
Airtel Zambia;GLZM0417;GLZM0417 | Lusaka;AAZM-GLZM0417;GLZM0417;Priority_5;Lusaka;SRAN;Lusaka;Ericsson;SBTS-Ericsson;;AAZM-ZM0417;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;LZM6842_4088_Lubengele_Coverage;LZM6842_4088_Lubengele_Coverage | Copperbelt;AAZM-LZM6842_4088_Lubengele_Coverage;LZM6842_4088_Lubengele_Coverage;Priority_5;Copperbelt;4G;Copperbelt;Nokia;eNodeB-Nokia;;AAZM-ZM6842;RAN;LTE (4G);eNodeB;;;Deployed;;
Airtel Zambia;WZM0702_DOWNTOWN_3G_BB;WZM0702_DOWNTOWN_3G_BB | Lusaka North;AAZM-WZM0702_DOWNTOWN_3G_BB;WZM0702_DOWNTOWN_3G_BB;Priority_5;Lusaka North;SRAN;Lusaka North;Ericsson;SBTS-Ericsson;;AAZM-ZM0702;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;MUNALIHILLS;MUNALIHILLS | Southern;AAZM-MUNALIHILLS;MUNALIHILLS;Priority_5;Southern;2G;Southern;Ericsson;BTS-Ericsson;;AAZM-ZM3802;RAN;GSM (2G);BTS;LSEBS12;;Deployed;;
Airtel Zambia;KAPUFI1_630;KAPUFI1_630 | Southern;AAZM-KAPUFI1_630;KAPUFI1_630;Priority_5;Southern;2G;Southern;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM3417;RAN;GSM (2G);BTS;BCHOMA;;Deployed;;
Airtel Zambia;WZM3785;WZM3785 | Northern;AAZM-WZM3785;WZM3785;Priority_5;Northern;3G;Northern;Ericsson;NodeB-Ericsson;;AAZM-ZM3785;RAN;WCDMA/UMTS (3G);NodeB;KSMRNC07;;Deployed;;
Airtel Zambia;GWZM6123;GWZM6123 | Northern;AAZM-GWZM6123;GWZM6123;Priority_5;Northern;SRAN;Northern;Ericsson;SBTS-Ericsson;;AAZM-ZM6123;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;SZM3867_RUSANGUMISSION;SZM3867_RUSANGUMISSION | Southern;AAZM-SZM3867_RUSANGUMISSION;SZM3867_RUSANGUMISSION;Priority_5;Southern;SRAN;Southern;Nokia;Flexi MultiRadio BTS;;AAZM-ZM3867;RAN;Multi Techno;SingleRAN;SBTS;;Deployed;;
Airtel Zambia;WZM3304;WZM3304 | Lusaka North;AAZM-WZM3304;WZM3304;Priority_5;Lusaka North;3G;Lusaka North;Ericsson;NodeB-Ericsson;;AAZM-ZM3304;RAN;WCDMA/UMTS (3G);NodeB;NTCRNC05;;Deployed;;
Airtel Zambia;WZM0700;WZM0700 | Lusaka South;AAZM-WZM0700;WZM0700;Priority_5;Lusaka South;3G;Lusaka South;Ericsson;NodeB-Ericsson;;AAZM-ZM0700;RAN;WCDMA/UMTS (3G);NodeB;WTCRNC09;;Deployed;;
