Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;PrimAlias;Additional Site Details;Status
Vodacom TZ;VTZ-5293;VTZ-5293;Majengo_HTT;Coastal;Coastal;;Tanzania;Coastal;-6.174628;35.738057;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5294; 5294.0;UDOM_Micro;Coastal;Coastal;;Tanzania;Coastal;-6.22497;35.8274;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5294;UDOM_Micro;UDOM_Micro;Coastal;Coastal;;Tanzania;Coastal;-6.22497;35.8274;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5294;VTZ-5294;UDOM_Micro;Coastal;Coastal;;Tanzania;Coastal;-6.22497;35.8274;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5296; 5296.0;Udom_Hostel_Micro;Coastal;Coastal;;Tanzania;Coastal;-6.21528;35.7988;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5296;Udom_Hostel_Micro;Udom_Hostel_Micro;Coastal;Coastal;;Tanzania;Coastal;-6.21528;35.7988;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5296;VTZ-5296;Udom_Hostel_Micro;Coastal;Coastal;;Tanzania;Coastal;-6.21528;35.7988;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5297; 5297.0;Udom_Medicine_Micro;Coastal;Coastal;;Tanzania;Coastal;-6.2332;35.85247;;FlexEdge;;1;;Enabled
Vodacom TZ;VTZ-5297;Udom_Medicine_Micro;Udom_Medicine_Micro;Coastal;Coastal;;Tanzania;Coastal;-6.2332;35.85247;;FlexEdge;;1;;Enabled
Vodacom TZ;VTZ-5297;VTZ-5297;Udom_Medicine_Micro;Coastal;Coastal;;Tanzania;Coastal;-6.2332;35.85247;;FlexEdge;;0;;Enabled
Vodacom TZ;VTZ-5300; 5300.0;Chipanga_HTT;Coastal;Coastal;;Tanzania;Kili;-6.22817;35.3599;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5300;Chipanga_HTT;Chipanga_HTT;Coastal;Coastal;;Tanzania;Kili;-6.22817;35.3599;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5300;VTZ-5300;Chipanga_HTT;Coastal;Coastal;;Tanzania;Kili;-6.22817;35.3599;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5501; 5501.0;Kapunga;Southern;Southern;;Tanzania;Southern;-8.69634;34.05682;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5501;Kapunga;Kapunga;Southern;Southern;;Tanzania;Southern;-8.69634;34.05682;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5501;VTZ-5501;Kapunga;Southern;Southern;;Tanzania;Southern;-8.69634;34.05682;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5509; 5509.0;Lulambo;Southern;Southern;;Tanzania;Southern;-10.93459;35.00018;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5509;Lulambo;Lulambo;Southern;Southern;;Tanzania;Southern;-10.93459;35.00018;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5509;VTZ-5509;Lulambo;Southern;Southern;;Tanzania;Southern;-10.93459;35.00018;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5510; 5510.0;Mpanda_Mission;Southern;Southern;;Tanzania;Southern;-6.33747;31.07522;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5510;Mpanda_Mission;Mpanda_Mission;Southern;Southern;;Tanzania;Southern;-6.33747;31.07522;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5510;VTZ-5510;Mpanda_Mission;Southern;Southern;;Tanzania;Southern;-6.33747;31.07522;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5512; 5512.0;Mkombozi;Southern;Southern;;Tanzania;Southern;-8.90598;33.47091;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5512;Mkombozi;Mkombozi;Southern;Southern;;Tanzania;Southern;-8.90598;33.47091;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5512;VTZ-5512;Mkombozi;Southern;Southern;;Tanzania;Southern;-8.90598;33.47091;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5513; 5513.0;Makambako_MIssion;Southern;Southern;;Tanzania;Southern;-8.85067;34.83027;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5513;Makambako_MIssion;Makambako_MIssion;Southern;Southern;;Tanzania;Southern;-8.85067;34.83027;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5513;VTZ-5513;Makambako_MIssion;Southern;Southern;;Tanzania;Southern;-8.85067;34.83027;;FlexMultradio;;0;;Enabled
