Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;PrimAlias;Additional Site Details;Status
Airtel Zambia;AAZM-ZM6107;UKWIMIAB;UKWIMIAB;Eastern;Eastern;;Zambia;Eastern;-13.95428;31.61252;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6107;UNZAVET;UKWIMIAB;Eastern;Eastern;;Zambia;Eastern;-13.95428;31.61252;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6107;ZM6107;UKWIMIAB;Eastern;Eastern;;Zambia;Eastern;-13.95428;31.61252;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6113;AAZM-ZM6113;NSANSA_HILL;Central;Central;;Zambia;Central;-12.725824;30.429915;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6113;NSANSA_HILL;NSANSA_HILL;Central;Central;;Zambia;Central;-12.725824;30.429915;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6113;ZM6113;NSANSA_HILL;Central;Central;;Zambia;Central;-12.725824;30.429915;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6121;3G_KAPISHYA;KAPISHYA;Northern;Northern;;Zambia;Northern;-11.18563;31.58053;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6121;5915_KAPISHYA;KAPISHYA;Northern;Northern;;Zambia;Northern;-11.18563;31.58053;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6121;AAZM-ZM6121;KAPISHYA;Northern;Northern;;Zambia;Northern;-11.18563;31.58053;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6121;KAPISHYA;KAPISHYA;Northern;Northern;;Zambia;Northern;-11.18563;31.58053;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6121;ZM6121;KAPISHYA;Northern;Northern;;Zambia;Northern;-11.18563;31.58053;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6122;AAZM-ZM6122;CHUNGA_FARMS;Northern;Northern;;Zambia;Northern;-9.822511;32.48488;;Outdoor;;0;;Enabled
