Company;CI Name;Site;Region;Site Group;CI Description;DNS Host Name;System Role;Product Name;Tier 1;Tier 2;Tier 3;Manufacturer;Model Version;Additional Information;Tag Number;CI ID;NbrCells;Domain;Status;Reconciliation Identity;Priority
Vodacom TZ;Makambako_Mwembe-3G;VTZ-6447;Southern;Southern;Makambako_Mwembe-3G | Southern;Makambako_Mwembe-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMB2;;9;VTZ-Makambako_Mwembe-3G;Deployed;;PRIORITY_5
Vodacom TZ;Quality_Plaza_IBS-2G;VTZ-1412;Coastal;Coastal;Quality_Plaza_IBS-2G | Coastal;Quality_Plaza_IBS-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSDA5;;2;VTZ-Quality_Plaza_IBS-2G;Deployed;;PRIORITY_5
Vodacom TZ;Kibeta_Cap-3G;VTZ-4816;Lake;Lake;Kibeta_Cap-3G | Lake;Kibeta_Cap-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNGT1;;9;VTZ-Kibeta_Cap-3G;Deployed;;PRIORITY_5
Vodacom TZ;ButiamaHill-3G;VTZ-4063;Lake;Lake;ButiamaHill-3G | Lake;ButiamaHill-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW1;;9;VTZ-ButiamaHill-3G;Deployed;;PRIORITY_5
Vodacom TZ;Sae_Mkwawa_HTT_6S_6471-3G;VTZ-842;Southern;Southern;Sae_Mkwawa_HTT_6S_6471-3G | Southern;Sae_Mkwawa_HTT_6S_6471-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMB2;;9;VTZ-Sae_Mkwawa_HTT_6S_6471-3G;Deployed;;PRIORITY_5
Vodacom TZ;Njiro_Kanisani-3G;VTZ-3211;Kili;Kili;Njiro_Kanisani-3G | Kili;Njiro_Kanisani-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNAR2;;9;VTZ-Njiro_Kanisani-3G;Deployed;;PRIORITY_5
Vodacom TZ;KWALE_PCRF;VTZ-Kwale DC;Dar;Dar;KWALE_PCRF | PACO | VTZ-Kwale DC;KWALE_PCRF;PACO;OSC-Huawei;Multicore;Packet Core;OCS;Huawei;;Huawei EPC;;;;VTZ-KWALE_PCRF;Deployed;;PRIORITY_5
Vodacom TZ;LTE_Tegeta_Center;VTZ-1269;Coastal;Coastal;LTE_Tegeta_Center | LTE_TDD | VTZ-1269;LTE_Tegeta_Center;LTE_TDD;eNodeB-Huawei;RAN;LTE (4G);eNodeB;Huawei;;Huawei LTE_TDD;;;;VTZ-LTE_Tegeta_Center;Deployed;;PRIORITY_5
Vodacom TZ;LTE_Mlalakua;VTZ-1054;Coastal;Coastal;LTE_Mlalakua | LTE_TDD | VTZ-1054;LTE_Mlalakua;LTE_TDD;eNodeB-Huawei;RAN;LTE (4G);eNodeB;Huawei;;Huawei LTE_TDD;;;;VTZ-LTE_Mlalakua;Deployed;;PRIORITY_5
Vodacom TZ;Nyakato_L700-4G;VTZ-4433;Lake;Lake;Nyakato_L700-4G | Lake;Nyakato_L700-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Nyakato_L700-4G;Deployed;;PRIORITY_5
Vodacom TZ;Masanga_6S_4422-3G;VTZ-871;Lake;Lake;Masanga_6S_4422-3G | Lake;Masanga_6S_4422-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNGT1;;9;VTZ-Masanga_6S_4422-3G;Deployed;;PRIORITY_5
Vodacom TZ;Goloka_HTT_6S_1902-3G;VTZ-787;Coastal;Coastal;Goloka_HTT_6S_1902-3G | Coastal;Goloka_HTT_6S_1902-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDA6;;9;VTZ-Goloka_HTT_6S_1902-3G;Deployed;;PRIORITY_5
