Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;PrimAlias;Additional Site Details;Status
Airtel Uganda;AAUG-EA5072;EA5072;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5081;AAUG-EA5081;;East;East;;Uganda;East;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5081;EA5081;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-KA1656;AAUG-KA1656;;Central;Central;;Uganda;Central;;;;;;0;;Enabled
Airtel Uganda;AAUG-KA1656;KA1656;;Central;Central;;Uganda;Central;;;;;;1;;Enabled
Airtel Uganda;AAUG-KA1658;AAUG-KA1658;;Central;Central;;Uganda;Central;;;;;;0;;Enabled
Airtel Uganda;AAUG-KA1658;KA1658;;Central;Central;;Uganda;Central;;;;;;1;;Enabled
Airtel Uganda;AAUG-UG4176;AAUG-UG4176;;Uganda;Uganda;;Uganda;Uganda;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5128;EA5128;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5128;Kumi_Warid ;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5130;EA5130;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5130;UTL_ETN_Katakwi ;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-UG4180;AAUG-UG4180;;Uganda;Uganda;;Uganda;Uganda;;;;;;0;;Enabled
Airtel Uganda;AAUG-UG4186;AAUG-UG4186;;Uganda;Uganda;;Uganda;Uganda;;;;;;0;;Enabled
Airtel Uganda;AAUG-UG9993;AAUG-UG9993;;Uganda;Uganda;;Uganda;Uganda;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5156;EA5156;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5156;Serere ;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5161;EA5161;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5161;Kamuswahili ;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5162;AAUG-EA5162;;East;East;;Uganda;East;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5078;SOROTI_TOWN-4G;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5042;AAUG-EA5042;;East;East;;Uganda;East;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5051;AAUG-EA5051;;East;East;;Uganda;East;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5072;AAUG-EA5072;;East;East;;Uganda;East;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5108;EA5108;;East;East;;Uganda;East;0.61824;33.4819;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-EA5128;AAUG-EA5128;;East;East;;Uganda;East;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5130;AAUG-EA5130;;East;East;;Uganda;East;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5156;AAUG-EA5156;;East;East;;Uganda;East;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5161;AAUG-EA5161;;East;East;;Uganda;East;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5162;EA5162;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5162;LIRAROAD;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5162;LIRA_ROAD-3G;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5162;Lira Road ;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5163;AAUG-EA5163;;East;East;;Uganda;East;0.68755;34.19105;;Outdoor;;0;;Enabled
Airtel Uganda;AAUG-EA5163;EA5163;;East;East;;Uganda;East;0.68755;34.19105;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-EA5163;Tororo HC ;;East;East;;Uganda;East;0.68755;34.19105;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-UG9995;AAUG-UG9995;;Uganda;Uganda;;Uganda;Uganda;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5175;AAUG-EA5175;;East;East;;Uganda;East;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5175;Busembatya ;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5175;EA5175;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5176;AAUG-EA5176;;East;East;;Uganda;East;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5176;EA5176;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5176;Tirinyi ;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-UG9999;AAUG-UG9999;;Uganda;Uganda;;Uganda;Uganda;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2539;AAUG-WE2539;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2539;WE2539;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2642;AAUG-WE2642;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2642;WE2642;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2665;AAUG-WE2665;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2665;WE2665;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5178;AAUG-EA5178;;East;East;;Uganda;East;1.03925;34.00161;;Outdoor;;0;;Enabled
Airtel Uganda;AAUG-EA5178;EA5178;;East;East;;Uganda;East;1.03925;34.00161;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-EA5178;Lupada ;;East;East;;Uganda;East;1.03925;34.00161;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-EA5185;AAUG-EA5185;;East;East;;Uganda;East;1.33301;34.36014;;Outdoor;;0;;Enabled
Airtel Uganda;AAUG-EA5185;EA5185;;East;East;;Uganda;East;1.33301;34.36014;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-EA5185;Kapsoyoy ;;East;East;;Uganda;East;1.33301;34.36014;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-EA5189;AAUG-EA5189;;East;East;;Uganda;East;0.80456;34.17047;;Outdoor;;0;;Enabled
Airtel Uganda;AAUG-EA5189;EA5189;;East;East;;Uganda;East;0.80456;34.17047;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-EA5189;Kipono ;;East;East;;Uganda;East;0.80456;34.17047;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-EA5190;AAUG-EA5190;;East;East;;Uganda;East;0.74551;34.18476;;Outdoor;;0;;Enabled
Airtel Uganda;AAUG-EA5190;EA5190;;East;East;;Uganda;East;0.74551;34.18476;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-EA5190;Mokujju PTC ;;East;East;;Uganda;East;0.74551;34.18476;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-EA5191;AAUG-EA5191;;East;East;;Uganda;East;0.63118;33.57454;;Outdoor;;0;;Enabled
Airtel Uganda;AAUG-EA5191;Butente ;;East;East;;Uganda;East;0.63118;33.57454;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-EA5191;EA5191;;East;East;;Uganda;East;0.63118;33.57454;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-EA5192;AAUG-EA5192;;East;East;;Uganda;East;0.6152;33.65606;;Outdoor;;0;;Enabled
