Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
Capita TfL GB;PCN-J006-J-EBLO-HRN-002M;PCN-J006-J-EBLO-HRN-002M | Sector 33 | East Tunnel;TFLGB-PCN-J006-J-EBLO-HRN-002M;PCN-J006-J-EBLO-HRN-002M;Priority_5;London;HRN;North Greenwhich;SOLiD;SOLiD HRN;East Tunnel;TFLGB-J006;RAN;Multi Techno;Repeater, Transcoder;Sector 33;;Deployed;;
Capita TfL GB;PCN-D101-LRN-70S;PCN-D101-LRN-70S | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-LRN-70S;PCN-D101-LRN-70S;Priority_5;London;LRN;Westminster;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
Capita TfL GB;PCN-J009-DAS22;PCN-J009-DAS22 | Sector 22 | BTS Hotel;TFLGB-PCN-J009-DAS22;PCN-J009-DAS22;Priority_1;London;DAU;Canada Water;SOLiD;SOLiD DAU;BTS Hotel;TFLGB-J009;RAN;Multi Techno;Repeater, Transcoder;Sector 22;;Deployed;;
Capita TfL GB;PCN-J011-LRN-38S;PCN-J011-LRN-38S | Sector 20 | Platform 1;TFLGB-PCN-J011-LRN-38S;PCN-J011-LRN-38S;Priority_5;London;LRN;Bermondsey;SOLiD;SOLiD LRN;Platform 1;TFLGB-J011;RAN;Multi Techno;Repeater, Transcoder;Sector 20;;Deployed;;
Capita TfL GB;PCN-D101-HCU-ZDC6-M1;PCN-D101-HCU-ZDC6-M1 | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-HCU-ZDC6-M1;PCN-D101-HCU-ZDC6-M1;Priority_5;London;HCU;Westminster;SOLiD;SOLiD HCU;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
Capita TfL GB;PCN-D101-LRN-62M;PCN-D101-LRN-62M | Sector 2 | Platform 4;TFLGB-PCN-D101-LRN-62M;PCN-D101-LRN-62M;Priority_5;London;LRN;Westminster;SOLiD;SOLiD LRN;Platform 4;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 2;;Deployed;;
Capita TfL GB;PCN-N135-HCU-ZDC13-M2;PCN-N135-HCU-ZDC13-M2 | Sector 15 | Platform 3;TFLGB-PCN-N135-HCU-ZDC13-M2;PCN-N135-HCU-ZDC13-M2;Priority_5;London;HCU;London Bridge;SOLiD;SOLiD HCU;Platform 3;TFLGB-N135;RAN;Multi Techno;Repeater, Transcoder;Sector 15;;Deployed;;
Capita TfL GB;PCN-J009-HCU-ZDC11-M;PCN-J009-HCU-ZDC11-M | Sector 23 | Platform 1;TFLGB-PCN-J009-HCU-ZDC11-M;PCN-J009-HCU-ZDC11-M;Priority_5;London;HCU;Canada Water;SOLiD;SOLiD HCU;Platform 1;TFLGB-J009;RAN;Multi Techno;Repeater, Transcoder;Sector 23;;Deployed;;
Capita TfL GB;PCN-J016-J-WBLO-HRN-003S;PCN-J016-J-WBLO-HRN-003S | Sector 14 | West Tunnel;TFLGB-PCN-J016-J-WBLO-HRN-003S;PCN-J016-J-WBLO-HRN-003S;Priority_5;London;HRN;London Bridge;SOLiD;SOLiD HRN;West Tunnel;TFLGB-J016;RAN;Multi Techno;Repeater, Transcoder;Sector 14;;Deployed;;
Capita TfL GB;PCN-J005-LRN-64M;PCN-J005-LRN-64M | Sector 31 | Platform;TFLGB-PCN-J005-LRN-64M;PCN-J005-LRN-64M;Priority_5;London;LRN;North Greenwhich;SOLiD;SOLiD LRN;Platform;TFLGB-J005;RAN;Multi Techno;Repeater, Transcoder;Sector 31;;Deployed;;
