Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;Additional Information;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
EMTS NG;B3385-B3358;B3385-B3358 | Ibadan;.;B3385-B3358;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9400 AWY;;EMT-3385;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4252-B5790;B4252-B5790 | Ilorin;.;B4252-B5790;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-4252;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3393-B3396;B3393-B3396 | Ilorin;.;B3393-B3396;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9400 AWY;;EMT-3393;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B0332-B4538;B0332-B4538 | Benin;.;B0332-B4538;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-0332;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5543-B5544;B5543-B5544 | Ilorin;.;B5543-B5544;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-5543;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5552-B5553;B5552-B5553 | Benin;.;B5552-B5553;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-5552;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3872-B4213;B3872-B4213 | Benin;.;B3872-B4213;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-3872;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4003-B4120;B4003-B4120 | Ibadan;.;B4003-B4120;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-4003;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5534-B5837;B5534-B5837 | Ilorin;.;B5534-B5837;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9400 AWY;;EMT-5534;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3452-B3511;B3452-B3511 | Ibadan;.;B3452-B3511;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-3452;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3805-B3832;B3805-B3832 | Ilorin;.;B3805-B3832;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9400 AWY;;EMT-3805;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4065-B4066;B4065-B4066 | Ibadan;.;B4065-B4066;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-4065;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4018-B4023;B4018-B4023 | Ibadan;.;B4018-B4023;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-4018;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3325-B5850;B3325-B5850 | Ibadan;.;B3325-B5850;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-3325;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5567-B4094;B5567-B4094 | Ibadan;.;B5567-B4094;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-5567;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5617-B5616;B5617-B5616 | Ibadan;.;B5617-B5616;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-5617;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3342-B3434;B3342-B3434 | Ibadan;.;B3342-B3434;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9400 AWY;;EMT-3342;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4531-B5523;B4531-B5523 | Benin;.;B4531-B5523;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-4531;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3434-B3342;B3434-B3342 | Ibadan;.;B3434-B3342;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9400 AWY;;EMT-3434;Transmission;WTD/Microwave;Microwave;;;Deployed;;
