Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;Additional Site Details;Status
EMTS NG;EMT-4579;EMT-4579;0;Ilorin;Ilorin;Isale Idare Compound. Ojoku. Oyun LGA. Kwara State;Nigeria;Ilorin;4.66294;8.2518;;;;;Enabled
EMTS NG;EMT-4698;EMT-4698;0;Ibadan;Ibadan;C.O.W;Nigeria;Ibadan;;;;;;;Enabled
EMTS NG;EMT-3845;EMT-3845;Restricted accessibility: Mo-Sat 8-17h;Ilorin;Ilorin;Temidire international school. Ose Akoko  Ondo State;Nigeria;Ilorin;7.32014;5.6727;;;;;Enabled
EMTS NG;EMT-3846;EMT-3846;Accessible 24/7;Ilorin;Ilorin;Temitope street ile Oluji. Ondo state;Nigeria;Ilorin;7.21762;4.86994;;;;;Enabled
EMTS NG;EMT-3855;EMT-3855;Accessible 24/7;Ilorin;Ilorin;Plot beside Police Station. Ala Quarters. Akure. Ondo State;Nigeria;Ilorin;7.233695;5.208006;;;;;Enabled
EMTS NG;EMT-3856;EMT-3856;Accessible 24/7;Ilorin;Ilorin;AKURE ONDO;Nigeria;Ilorin;7.220268;5.218259;;;;;Enabled
EMTS NG;EMT-3904;EMT-3904;Accessible 24/7;Ilorin;Ilorin;THE FEDERAL UNIVERSITY ADO-EKITI;Nigeria;Ilorin;7.71453;5.25404;;;;;Enabled
EMTS NG;EMT-3908;EMT-3908;Restricted accessibility: Mo-Sat 8-17h;Ilorin;Ilorin;Oye Ekiti. Ekiti;Nigeria;Ilorin;7.800087;5.33058621;;;;;Enabled
EMTS NG;EMT-3918;EMT-3918;Restricted accessibility: Mo-Sat 8-17h;Ilorin;Ilorin;Aribile. Iworoko Ekiti Irepodun/Ifelodun. Ekiti State;Nigeria;Ilorin;7.72816847;5.26338839;;;;;Enabled
EMTS NG;EMT-2788;EMT-2788;TBD;Lokoja;Lokoja;Mayanre,Gegu-Beki,Lokoja-Road,Kogi L.G.A,Kogi State;Nigeria;GEGU BEKI;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2761;EMT-2761;TBD;Makurdi;Makurdi;Ikpayongo Village along Otukpo makurdi express road, Gwer-east L.G.A, Benue State;Nigeria;ENUGU-ABUJA RD;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2763;EMT-2763;TBD;Makurdi;Makurdi;Camp Garuba,Guma L.G.A, along Lafia - Makurdi Road, Guma L.G.A Benue State;Nigeria;ENUGU-ABUJA RD;16.86491;47.986998;Cat. B;;;;Enabled
